Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides 16plex_N	Razor + unique peptides 16plex_N	Unique peptides 16plex_N	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Fraction 3	Fraction 4	Fraction 5	Fraction 6	Fraction 7	Fraction 8	Fraction 9	Fraction 10	Fraction 11	Fraction 12	Q-value	Score	Identification type 16plex_N	Reporter intensity corrected 1 16plex_N	Reporter intensity corrected 2 16plex_N	Reporter intensity corrected 3 16plex_N	Reporter intensity corrected 4 16plex_N	Reporter intensity corrected 5 16plex_N	Reporter intensity corrected 6 16plex_N	Reporter intensity corrected 7 16plex_N	Reporter intensity corrected 8 16plex_N	Reporter intensity corrected 9 16plex_N	Reporter intensity corrected 10 16plex_N	Reporter intensity corrected 11 16plex_N	Reporter intensity corrected 12 16plex_N	Reporter intensity corrected 13 16plex_N	Reporter intensity corrected 14 16plex_N	Reporter intensity corrected 15 16plex_N	Reporter intensity corrected 16 16plex_N	Reporter intensity 1 16plex_N	Reporter intensity 2 16plex_N	Reporter intensity 3 16plex_N	Reporter intensity 4 16plex_N	Reporter intensity 5 16plex_N	Reporter intensity 6 16plex_N	Reporter intensity 7 16plex_N	Reporter intensity 8 16plex_N	Reporter intensity 9 16plex_N	Reporter intensity 10 16plex_N	Reporter intensity 11 16plex_N	Reporter intensity 12 16plex_N	Reporter intensity 13 16plex_N	Reporter intensity 14 16plex_N	Reporter intensity 15 16plex_N	Reporter intensity 16 16plex_N	Reporter intensity count 1 16plex_N	Reporter intensity count 2 16plex_N	Reporter intensity count 3 16plex_N	Reporter intensity count 4 16plex_N	Reporter intensity count 5 16plex_N	Reporter intensity count 6 16plex_N	Reporter intensity count 7 16plex_N	Reporter intensity count 8 16plex_N	Reporter intensity count 9 16plex_N	Reporter intensity count 10 16plex_N	Reporter intensity count 11 16plex_N	Reporter intensity count 12 16plex_N	Reporter intensity count 13 16plex_N	Reporter intensity count 14 16plex_N	Reporter intensity count 15 16plex_N	Reporter intensity count 16 16plex_N	Sequence coverage 16plex_N [%]	Intensity	Intensity 16plex_N	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Phospho (STY) site IDs	Oxidation (M) site positions	Phospho (STY) site positions	Taxonomy IDs
YIR023W	YIR023W	2	2	2	sp|YIR023W|DAL81_YEAST NCSL01000060.1 6726-9623 ORF Verified Positive regulator of genes in multiple nitrogen degradation pathways; contains DNA binding domain but does not appear to bind the dodecanucleotide sequence present in the promoter region of many	1	2	2	2	2	2	2	3.9	3.9	3.9	108.64	965	965	7				1						1			0	13.663	By MS/MS	35039	31951	28214	27616	26549	34437	37588	18222	26178	30174	28264	25625	36944	33738	20370	48834	35039	31951	28214	27616	26549	34437	37588	18222	26178	30174	28264	25625	36944	33738	20370	48834	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3.9	13128000	13128000	1				1831	14273;24905	True;True	14742;25774	24772;43233	21686;37715	21686;37715		630;631		290;291	-1
YIR025W	YIR025W	1	1	1	sp|YIR025W|MND2_YEAST NCSL01000060.1 10593-11696 ORF Verified Subunit of the Anaphase-Promoting Complex/Cyclosome (APC/C); necessary for maintaining sister chromatid cohesion in prophase I of meiosis by inhibiting premature ubiquitination and subsequent de	1	1	1	1	1	1	1	2.5	2.5	2.5	42.632	367	367	8								1					0.000306	3.5939	By MS/MS	125440	135150	124930	131270	167340	117190	166560	121740	118350	109660	152530	108480	145600	176190	156980	186070	125440	135150	124930	131270	167340	117190	166560	121740	118350	109660	152530	108480	145600	176190	156980	186070	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.5	101300000	101300000	1				1832	12952	True	13386	22677	19795	19795					-1
YIR026C	YIR026C	2	2	2	sp|YIR026C|YVH1_YEAST NCSL01000060.1 11804-12898 ORF Verified Dual specificity protein phosphatase; regulates growth, sporulation, and glycogen accumulation in a cAMP-dependent protein kinase cascade dependent manner; mutants are defective in 60S ribosome 	1	2	2	2	2	2	2	8.2	8.2	8.2	41.157	364	364	9									2				0	21.67	By MS/MS	118720	116380	58973	65283	66125	119700	114410	75729	104760	108700	103360	117340	86469	142040	43574	149130	118720	116380	58973	65283	66125	119700	114410	75729	104760	108700	103360	117340	86469	142040	43574	149130	2	2	1	2	1	2	2	2	2	2	2	2	2	2	1	2	8.2	132050000	132050000	2				1833	7023;28166	True;True	7255;29141	12232;49041	10690;42787	10690;42787					-1
YIR029W	YIR029W	4	4	4	sp|YIR029W|DAL2_YEAST NCSL01000060.1 17738-18769 ORF Verified Allantoicase; converts allantoate to urea and ureidoglycolate in the second step of allantoin degradation; expression sensitive to nitrogen catabolite repression and induced by allophanate, an i	1	4	4	4	4	4	4	10.8	10.8	10.8	38.713	343	343	7.57			1	1				2	1	1	1		0	51.715	By MS/MS	999290	892270	742550	1139600	1778700	690780	754580	1093000	847330	950890	943090	974310	1957400	1930000	513270	2078900	999290	892270	742550	1139600	1778700	690780	754580	1093000	847330	950890	943090	974310	1957400	1930000	513270	2078900	7	7	7	7	7	6	7	7	7	7	7	6	7	7	6	7	10.8	765730000	765730000	6				1834	5508;6217;11035;17295	True;True;True;True	5708;6429;11423;17859	9673;9674;10905;19505;19506;19507;30023	8449;9558;16998;16999;17000;26177	8449;9558;16999;26177					-1
YIR031C	YIR031C	10	1	1	sp|YIR031C|DAL7_YEAST NCSL01000060.1 19946-21610 ORF Verified Malate synthase; can accept butyryl-CoA as acyl-CoA donor in addition to traditional substrate acetyl-CoA; recycles glyoxylate generated during allantoin degradation; SWAT-GFP and mCherry fusion	1	10	1	1	10	1	1	12.5	1.6	1.6	62.793	554	554	4				1									1	-2	By MS/MS	37889	0	0	0	0	48222	49089	35941	26521	20123	0	41439	30124	0	29778	41635	37889	0	0	0	0	48222	49089	35941	26521	20123	0	41439	30124	0	29778	41635	1	0	0	0	0	1	1	1	1	1	0	1	1	0	1	1	12.5	135810000	135810000	1	+			1835	2838;2961;8873;9522;15437;16578;19454;22352;22353;30212	False;False;False;False;False;True;False;False;False;False	2952;3080;9181;9862;9863;15945;17125;20173;23149;23150;31265	5423;5424;5425;5426;5427;5428;5633;5634;5635;5636;5637;15644;15645;15646;15647;15648;15649;15650;15651;16893;16894;16895;16896;16897;16898;16899;16900;16901;16902;16903;26848;26849;26850;26851;26852;28809;33970;38703;38704;38705;38706;38707;38708;38709;38710;38711;52872;52873;52874;52875;52876;52877;52878	4626;4627;4628;4629;4630;4631;4632;4812;4813;4814;4815;13611;13612;13613;14707;14708;14709;14710;14711;23502;23503;23504;23505;23506;25155;29633;33791;33792;33793;33794;33795;33796;33797;46054;46055;46056;46057;46058;46059	4626;4815;13613;14710;23503;25155;29633;33794;33797;46057	620		183		-1
YIR033W	YIR033W	7	7	7	sp|YIR033W|MGA2_YEAST NCSL01000060.1 23055-26396 ORF Verified ER membrane protein involved in regulation of OLE1 transcription; inactive ER form dimerizes and one subunit is then activated by ubiquitin/proteasome-dependent processing followed by nuclear ta	1	7	7	7	7	7	7	8.9	8.9	8.9	127.03	1113	1113	8.22				1	1		2	1		1	3		0	19	By MS/MS	148990	132650	192500	178950	174830	170250	180090	138900	157520	146830	133640	154650	226060	216630	101010	277650	148990	132650	192500	178950	174830	170250	180090	138900	157520	146830	133640	154650	226060	216630	101010	277650	3	2	3	2	2	2	3	2	4	3	4	2	3	4	2	3	8.9	185430000	185430000	7				1836	5585;6812;13751;18318;20475;28737;29137	True;True;True;True;True;True;True	5786;7040;14208;18967;21235;29730;30153	9797;11888;11889;23940;31967;35593;50114;50115;50862	8567;10398;20934;27848;31090;43701;43702;44344	8567;10398;20934;27848;31090;43701;44344		224;868		733;737	-1
YIR034C	YIR034C	14	14	14	sp|YIR034C|LYS1_YEAST NCSL01000060.1 26542-27663 ORF Verified Saccharopine dehydrogenase (NAD+, L-lysine-forming); catalyzes the conversion of saccharopine to L-lysine, which is the final step in the lysine biosynthesis pathway; also has mRNA binding activ	1	14	14	14	14	14	14	42.1	42.1	42.1	41.464	373	373	6.1	3	3	1	2	1		2	1	3	2	2	1	0	77.536	By MS/MS	1957000	2369000	1954000	1729800	2626900	2151500	2374300	2901600	2287800	3076200	2411900	3027600	2850000	3144400	2689900	3960800	1957000	2369000	1954000	1729800	2626900	2151500	2374300	2901600	2287800	3076200	2411900	3027600	2850000	3144400	2689900	3960800	10	13	14	11	15	13	15	14	13	14	14	16	16	15	16	14	42.1	3550400000	3550400000	18				1837	128;129;218;445;2692;3669;4132;4179;4180;7857;7977;12726;17196;20599	True;True;True;True;True;True;True;True;True;True;True;True;True;True	132;133;224;225;464;2805;3807;4287;4335;4336;8120;8242;13157;17758;21362	232;233;234;235;401;402;815;816;5210;6772;7496;7572;7573;7574;7575;13748;13943;22364;29836;35816;35817	207;208;209;210;349;350;703;4428;5823;6483;6556;6557;11994;12165;19495;26025;31270;31271	207;209;349;703;4428;5823;6483;6556;6557;11994;12165;19495;26025;31270					-1
YIR035C	YIR035C	4	4	4	sp|YIR035C|dubious521_YEAST NCSL01000060.1 27952-28716 ORF Uncharacterized Putative cytoplasmic short-chain dehydrogenase/reductase GN=dubious521 PE=1 SV=1	1	4	4	4	4	4	4	24	24	24	27.503	254	254	9						1			1	3			0	50.558	By MS/MS	508600	441310	391910	358480	279440	390600	484580	411410	284620	328340	500520	461540	359740	320460	402210	634600	508600	441310	391910	358480	279440	390600	484580	411410	284620	328340	500520	461540	359740	320460	402210	634600	5	5	4	5	4	5	5	5	4	3	5	5	4	4	4	5	24	769870000	769870000	5				1838	124;727;8479;21365	True;True;True;True	128;760;8759;22142	226;1403;14851;14852;37114	201;1185;12924;12925;32414	201;1185;12924;32414					-1
YIR036C	YIR036C	16	16	16	sp|YIR036C|IRC24_YEAST NCSL01000060.1 29001-29792 ORF Verified Putative benzil reductase;(GFP)-fusion protein localizes to the cytoplasm and is induced by the DNA-damaging agent MMS; sequence similarity with short-chain dehydrogenase/reductases; null mutan	1	16	16	16	16	16	16	57.4	57.4	57.4	28.823	263	263	6.07	2	3	3	1	4	2	4	2	4	2	1	1	0	193.57	By MS/MS	2746300	3055000	2167200	2292300	3194000	2846300	3555300	2860700	3006700	3128800	3588700	3933000	3581000	3732000	2856700	4786100	2746300	3055000	2167200	2292300	3194000	2846300	3555300	2860700	3006700	3128800	3588700	3933000	3581000	3732000	2856700	4786100	13	15	16	16	17	16	19	17	18	18	18	19	18	20	18	19	57.4	7993100000	7993100000	21				1839	123;2316;3272;5599;5827;8109;8166;14718;17994;17995;26003;27398;27399;28295;28590;29268	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	127;2412;3395;5800;5801;6031;8382;8440;15207;18590;18591;26898;28341;28342;29272;29575;30287	225;4440;4441;6115;9816;9817;10203;10204;14197;14198;14292;14293;25638;25639;31315;31316;31317;45122;45123;47541;47542;47543;49269;49270;49271;49817;51118;51119;51120	200;3768;3769;5245;8586;8587;8933;12372;12453;22428;27284;27285;39389;39390;41495;41496;42989;43453;44565;44566;44567	200;3769;5245;8586;8933;12372;12453;22428;27284;27285;39389;41495;41496;42989;43453;44565	621		207		-1
YIR037W	YIR037W	9	9	6	sp|YIR037W|HYR1_YEAST NCSL01000060.1 30055-30546 ORF Verified Thiol peroxidase; functions as a hydroperoxide receptor to sense intracellular hydroperoxide levels and transduce a redox signal to the Yap1p transcription factor; HYR1 has a paralog, GPX1, that	1	9	9	6	9	9	6	45.4	45.4	33.1	18.641	163	163	6.67		2	1	1	2	2	1	1	1	2	1	1	0	44.484	By MS/MS	2820900	4078500	2689400	3644800	3095400	3776900	3859500	4973300	3373000	5166700	4693800	4493400	5804500	4596100	6119400	4314700	2820900	4078500	2689400	3644800	3095400	3776900	3859500	4973300	3373000	5166700	4693800	4493400	5804500	4596100	6119400	4314700	13	13	11	13	11	14	14	14	14	15	14	15	15	14	14	13	45.4	7312600000	7312600000	15				1840	4855;8135;8349;8924;10497;13166;13226;29955;31325	True;True;True;True;True;True;True;True;True	5028;8409;8624;9233;10876;13604;13665;30999;32410	8593;14242;14243;14626;15738;15739;15740;18623;23020;23117;23118;52389;52390;52391;54915	7492;12409;12410;12726;13690;13691;13692;16242;20100;20188;20189;45641;45642;45643;47822	7492;12409;12726;13690;16242;20100;20188;45641;47822					-1
YIR038C	YIR038C	9	9	9	sp|YIR038C|GTT1_YEAST NCSL01000060.1 30727-31431 ORF Verified ER associated glutathione S-transferase capable of homodimerization; expression induced during the diauxic shift and throughout stationary phase; functional overlap with Gtt2p, Grx1p, and Grx2p 	1	9	9	9	9	9	9	42.3	42.3	42.3	26.794	234	234	5.67		1	5			2		1		2	1		0	53.532	By MS/MS	1963000	1948600	1165600	1210200	1272100	1377100	1692100	1944400	1244000	1514300	2120400	1899600	1646700	1780500	1275500	2946500	1963000	1948600	1165600	1210200	1272100	1377100	1692100	1944400	1244000	1514300	2120400	1899600	1646700	1780500	1275500	2946500	11	10	10	10	10	10	11	10	10	11	11	10	10	11	10	11	42.3	1552600000	1552600000	12				1841	5899;12164;13069;16963;19963;24562;26504;27896;28716	True;True;True;True;True;True;True;True;True	6103;12586;13505;17516;17517;20702;25417;27416;28859;29709	10311;21387;22862;22863;29422;29423;34759;42564;46012;46013;48514;50071	9035;9036;18641;19964;19965;25686;25687;30339;37137;40181;42342;43666	9035;18641;19964;25686;30339;37137;40181;42342;43666	622		192		-1
YJL001W	YJL001W	7	7	7	sp|YJL001W|PRE3_YEAST NCSL01000002.1 231193-231956 ORF Verified Beta 1 subunit of the 20S proteasome; responsible for cleavage after acidic residues in peptides GN=PRE3 PE=1 SV=1	1	7	7	7	7	7	7	29.3	29.3	29.3	23.547	215	215	5.73	1		1	4	3	2			2	1	1		0	29.102	By MS/MS	1148500	1402000	475020	766940	466890	645490	731240	813970	944220	890420	1183600	478080	694620	948480	786860	838470	1148500	1402000	475020	766940	466890	645490	731240	813970	944220	890420	1183600	478080	694620	948480	786860	838470	5	4	4	4	5	5	5	6	4	6	5	3	6	4	5	3	29.3	6688600000	6688600000	11				1842	4323;5213;10023;15354;18749;27570;30199	True;True;True;True;True;True;True	4483;5403;10387;15860;19446;28521;31251	7774;9220;17810;26692;26693;32826;32827;32828;47838;47839;47840;47841;52848;52849;52850	6754;8056;15529;23367;28614;28615;28616;41743;41744;41745;46037	6754;8056;15529;23367;28615;41744;46037					-1
YJL002C	YJL002C	6	6	6	sp|YJL002C|OST1_YEAST NCSL01000002.1 229251-230681 ORF Verified Alpha subunit of the oligosaccharyltransferase complex of the ER lumen; complex catalyzes asparagine-linked glycosylation of newly synthesized proteins GN=OST1 PE=1 SV=1	1	6	6	6	6	6	6	16.8	16.8	16.8	54.037	476	476	7.25			2	1				1	2	1		1	0	66.951	By MS/MS	785720	737860	386870	270390	355710	420340	477800	231750	414620	424530	527820	499470	379470	412410	244760	764410	785720	737860	386870	270390	355710	420340	477800	231750	414620	424530	527820	499470	379470	412410	244760	764410	6	6	5	4	5	6	6	5	6	6	5	6	5	5	5	6	16.8	497390000	497390000	8				1843	16520;19219;19615;21039;25659;30757	True;True;True;True;True;True	17062;19935;20335;21809;26548;31822	28681;33575;33576;34208;36540;36541;44484;53879	25044;29291;29292;29846;31891;31892;38837;46931	25044;29291;29846;31891;38837;46931					-1
YJL003W	YJL003W	2	2	2	sp|YJL003W|COX16_YEAST NCSL01000002.1 228674-229030 ORF Verified Mitochondrial inner membrane protein; required for assembly of cytochrome c oxidase GN=COX16 PE=1 SV=1	1	2	2	2	2	2	2	21.2	21.2	21.2	14.077	118	118	3	1				1								0	8.2046	By MS/MS	32161	41668	23121	35007	21910	19230	20355	22338	15405	20589	37626	43219	20093	43435	14270	57013	32161	41668	23121	35007	21910	19230	20355	22338	15405	20589	37626	43219	20093	43435	14270	57013	1	2	1	1	1	1	1	2	1	1	1	2	1	2	1	2	21.2	116150000	116150000	2				1844	16679;21593	True;True	17226;22378	28953;37502	25285;32753	25285;32753					-1
YJL005W	YJL005W	10	10	10	sp|YJL005W|CYR1_YEAST NCSL01000002.1 221163-227267 ORF Verified Adenylate cyclase; required for cAMP production and cAMP-dependent protein kinase signaling; the cAMP pathway controls a variety of cellular processes, including metabolism, cell cycle, stress	1	10	10	10	10	10	10	7.4	7.4	7.4	229.07	2034	2034	7.83		1	1	1		1		1	2	2	3		0	49.698	By MS/MS	263830	254080	145630	137820	172070	185650	247880	136720	198800	177290	224550	193600	183970	188060	173760	323900	263830	254080	145630	137820	172070	185650	247880	136720	198800	177290	224550	193600	183970	188060	173760	323900	8	8	6	7	6	7	8	5	8	8	8	8	7	7	7	9	7.4	333180000	333180000	10				1845	1854;12131;14953;16296;16747;23278;25108;26977;27964;28891	True;True;True;True;True;True;True;True;True;True	1948;12551;15445;16832;17297;24092;25984;27908;28932;29892	3575;3576;21330;25988;28281;29068;40298;40299;43551;46805;48653;50422	3033;18588;22736;24719;25384;35157;38000;40861;42463;43969	3033;18588;22736;24719;25384;35157;38000;40861;42463;43969					-1
YJL008C	YJL008C	27	27	27	sp|YJL008C|CCT8_YEAST NCSL01000002.1 215705-217411 ORF Verified Subunit of the cytosolic chaperonin Cct ring complex; related to Tcp1p, required for the assembly of actin and tubulins in vivo GN=CCT8 PE=1 SV=1	1	27	27	27	27	27	27	57.6	57.6	57.6	61.662	568	568	6.76	3	2	6	2	3	5	5	6	5	8	3	1	0	323.31	By MS/MS	9542100	10521000	7317600	7671800	8733700	9966100	10795000	9280000	8113100	8207600	9061900	9163200	9092400	9692000	7485800	12593000	9542100	10521000	7317600	7671800	8733700	9966100	10795000	9280000	8113100	8207600	9061900	9163200	9092400	9692000	7485800	12593000	33	32	28	26	34	36	37	38	32	34	33	32	35	35	31	39	57.6	14561000000	14561000000	43				1846	735;4473;4842;4911;7592;8512;8703;9301;9302;9334;10941;10942;11043;11563;16010;16558;18164;20795;24191;24199;26619;26917;27107;28037;28065;29081;29810	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	770;4636;5013;5085;7846;8796;9005;9626;9627;9628;9665;11328;11329;11431;11972;16535;17103;18785;21560;25031;25039;27533;27840;28043;29007;29036;30086;30843	1417;8004;8005;8562;8563;8679;13266;14917;14918;14919;15332;15333;16431;16432;16433;16434;16497;16498;19356;19357;19520;20414;27787;27788;28771;28772;31671;31672;36152;36153;41935;41944;41945;46203;46204;46205;46702;47021;47022;47023;48786;48787;48788;48846;48847;48848;50748;52057;52058	1199;6962;6963;6964;7468;7567;7568;11576;12981;12982;13340;14310;14311;14312;14373;16864;16865;16866;17013;17788;24312;24313;25123;25124;27580;27581;31553;36587;36596;40337;40338;40339;40340;40771;41043;41044;41045;42572;42573;42627;44241;45370;45371	1199;6964;7468;7567;11576;12981;13340;14310;14312;14373;16864;16865;17013;17788;24312;25124;27580;31553;36587;36596;40338;40771;41044;42572;42627;44241;45371	623		273		-1
YJL010C	YJL010C	5	5	5	sp|YJL010C|NOP9_YEAST NCSL01000002.1 213310-215310 ORF Verified Essential subunit of U3-containing 90S preribosome; involved in production of 18S rRNA and assembly of small ribosomal subunit; also part of pre-40S ribosome and required for its export into c	1	5	5	5	5	5	5	7.8	7.8	7.8	77.749	666	666	7.4				1	2						1	1	0	10.039	By MS/MS	302730	209940	65034	38592	50818	120210	146500	41239	138140	104340	139940	134270	86567	136550	69765	319660	302730	209940	65034	38592	50818	120210	146500	41239	138140	104340	139940	134270	86567	136550	69765	319660	3	2	2	2	2	3	3	2	3	2	4	3	3	3	3	4	7.8	293780000	293780000	5				1847	3207;6940;12905;22117;23022	True;True;True;True;True	3330;7169;13339;22912;23832	6024;12080;22617;38342;39867	5160;10563;19739;33494;34779	5160;10563;19739;33494;34779					-1
YJL011C	YJL011C	1	1	1	sp|YJL011C|RPC17_YEAST NCSL01000002.1 210013-210498 ORF Verified RNA polymerase III subunit C17; physically interacts with C31, C11, and TFIIIB70; may be involved in the recruitment of pol III by the preinitiation complex; protein abundance increases in re	1	1	1	1	1	1	1	7.5	7.5	7.5	18.596	161	161	5					1								0.0017437	2.5633	By MS/MS	76620	100460	47030	71991	53654	52291	70842	56283	69323	59500	84113	67999	71870	69204	0	90502	76620	100460	47030	71991	53654	52291	70842	56283	69323	59500	84113	67999	71870	69204	0	90502	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	7.5	43407000	43407000	1				1848	18571	True	19251	32460	28305	28305					-1
YJL012C	YJL012C	25	25	25	sp|YJL012C|VTC4_YEAST NCSL01000002.1 206962-209127 ORF Verified Vacuolar membrane polyphosphate polymerase; subunit of the vacuolar transporter chaperone (VTC) complex involved in synthesis and transfer of polyP to the vacuole; regulates membrane trafficki	1	25	25	25	25	25	25	30.8	30.8	30.8	83.153	721	721	6.83	3	5	1	1	4	5	2	3	6	5	4	2	0	70.534	By MS/MS	3812600	9755800	3499600	2801400	7796700	4306200	6647700	6844400	3533600	6942900	6654900	6741700	4102200	5452100	4392300	17216000	3812600	9755800	3499600	2801400	7796700	4306200	6647700	6844400	3533600	6942900	6654900	6741700	4102200	5452100	4392300	17216000	17	22	16	16	23	20	23	21	19	21	23	21	20	21	21	28	30.8	20014000000	20014000000	33				1849	5083;6898;7705;8353;9283;9905;9906;10002;10108;12106;12107;12172;16459;16799;18820;22601;25773;25955;26288;26311;28726;28732;30470;31388;31514	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	5259;7126;7963;8628;9607;10263;10264;10366;10477;12525;12526;12594;16999;17350;19524;23404;26664;26851;27191;27216;29719;29725;31527;32475;32606	8979;8980;8981;12019;12020;13491;13492;14630;16401;16402;16403;17590;17591;17779;17955;17956;17957;21292;21293;21399;21400;21401;28587;29150;29151;32950;39115;44701;45049;45614;45670;50098;50107;50108;53311;55016;55017;55018;55019;55020;55286	7829;7830;7831;10512;10513;11748;11749;12732;14283;14284;15316;15317;15501;15656;15657;18551;18552;18651;24960;25455;25456;28716;34144;39024;39332;39827;39871;43686;43694;46435;47913;47914;48153	7831;10512;11749;12732;14283;15316;15317;15501;15656;18551;18552;18651;24960;25455;28716;34144;39024;39332;39827;39871;43686;43694;46435;47914;48153					-1
YJL013C	YJL013C	6	6	6	sp|YJL013C|MAD3_YEAST NCSL01000002.1 205221-206768 ORF Verified Subunit of spindle-assembly checkpoint complex; involved in delaying anaphase onset in cells with defects in mitotic spindle assembly; pseudosubstrate inhibitor of APC(Cdc20), the anaphase pro	1	6	6	6	6	6	6	15	15	15	59.521	515	515	5.71			2	2				1	2				0	29.465	By MS/MS	171930	216530	335320	177340	280420	381330	377140	243720	307070	310810	262900	402910	334580	349740	280150	312920	171930	216530	335320	177340	280420	381330	377140	243720	307070	310810	262900	402910	334580	349740	280150	312920	5	5	6	5	6	7	8	6	6	7	6	7	8	7	5	7	15	590200000	590200000	9				1850	812;4891;5489;22718;24244;25198	True;True;True;True;True;True	853;5065;5689;23523;25086;26074	1615;8645;9645;39314;42015;42016;43688	1350;1351;7540;7541;7542;8424;34309;36653;38124	1350;7541;8424;34309;36653;38124					-1
YJL014W	YJL014W	24	24	24	sp|YJL014W|CCT3_YEAST NCSL01000002.1 203286-204890 ORF Verified Subunit of the cytosolic chaperonin Cct ring complex; related to Tcp1p, required for the assembly of actin and tubulins in vivo; capable of binding Q/N rich proteins and mediating their foldin	1	24	24	24	24	24	24	52.1	52.1	52.1	58.814	534	534	6.64	1	6	5	1	3	4	2	7	6	4	3	2	0	163.26	By MS/MS	5129900	5495100	3442100	4666300	4067800	4655500	4969200	4605000	3427500	4842100	5472300	4969900	5006000	5585800	4537900	6801300	5129900	5495100	3442100	4666300	4067800	4655500	4969200	4605000	3427500	4842100	5472300	4969900	5006000	5585800	4537900	6801300	21	24	19	21	22	24	21	22	17	23	20	25	21	23	23	25	52.1	12249000000	12249000000	37				1851	1068;3230;3432;4503;9466;11783;12457;12933;13500;15454;17916;18308;18516;19288;20349;20649;21180;21956;21957;26737;28091;28227;28233;29956	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1115;3353;3558;4666;9805;12196;12881;13367;13951;15962;18503;18956;18957;19189;20005;21104;21105;21414;21952;22749;22750;27655;29063;29202;29208;31000	2092;6056;6057;6386;6387;8053;8054;16782;20767;20768;21848;21849;22653;23561;26886;26887;26888;31191;31192;31952;31953;32354;32355;33698;35379;35380;35907;35908;35909;35910;36767;36768;36769;38084;38085;46403;48886;48887;49129;49130;49140;49141;52392;52393	1762;5187;5188;5468;5469;7004;7005;14621;14622;18105;18106;19043;19044;19772;20586;23531;23532;27165;27166;27834;27835;28202;28203;29392;30900;30901;31348;31349;32100;32101;33262;33263;40517;42660;42864;42873;45644	1762;5188;5468;7004;14621;18105;19044;19772;20586;23532;27165;27835;28202;29392;30901;31348;32100;33262;33263;40517;42660;42864;42873;45644	624;625		47;421		-1
YJL019W	YJL019W	8	8	8	sp|YJL019W|MPS3_YEAST NCSL01000002.1 198623-200674 ORF Verified Nuclear envelope protein; required for SPB insertion, SPB duplication, Kar5p localization near the SPB and nuclear fusion; interacts with Mps2p to tether half-bridge to core SPB; N-terminal ac	1	8	8	8	8	8	8	14.8	14.8	14.8	79.33	683	683	9.31		1				1	2	1			5	3	0	39.032	By MS/MS	873270	1160200	947040	950610	1177200	1076800	976060	897110	818350	998900	1469300	1198900	1237500	1223100	856930	1519400	873270	1160200	947040	950610	1177200	1076800	976060	897110	818350	998900	1469300	1198900	1237500	1223100	856930	1519400	10	10	9	8	8	9	9	8	7	9	9	9	9	8	8	8	14.8	575760000	575760000	11				1852	4584;6520;11045;15486;16022;21599;21889;23346	True;True;True;True;True;True;True;True	4749;6740;11433;15996;16547;22386;22682;24163	8183;11406;11407;19522;19523;19524;19525;26942;27804;27805;37514;37984;40422	7116;9990;17015;17016;17017;17018;23581;24326;32763;33174;35261	7116;9990;17015;23581;24326;32763;33174;35261					-1
